CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM2.5_Concentration,SO2_Concentration,Date,SO2_index,PM10_index,PM2.5_index,O3_index,NO2_index,CO_index,aqi
0.5110416666666667,30.75977488364775,49.70944444444444,204.5211825860088,42.6,13.191861017863047,2013-01-01,7,125,118,46,15,0,125
0.5133333333333333,26.05456812652068,52.68788732394366,15.570061274509804,25.8,1.9257725694444443,2013-01-02,1,14,79,48,13,0,79
0.4733333333333333,31.372220216606497,40.397083333333335,13.538415271966528,20.046666666666667,2.064878472222222,2013-01-03,1,12,67,37,15,0,67
0.4795833333333333,27.55541087962963,55.400000000000006,15.922422438672438,17.53,3.2947569444444444,2013-01-04,1,14,62,52,13,0,62
0.3202083333333334,25.53842158564815,54.22125,10.79253804347826,15.092,1.2990104166666667,2013-01-05,0,9,57,48,12,0,57
0.389375,26.184108796296297,47.172916666666666,10.445821129707111,14.058333333333334,1.294765625,2013-01-06,0,9,55,43,13,0,55
1.1620833333333334,28.27667824074074,32.630833333333335,12.002202127659574,14.40095238095238,1.3008246527777778,2013-01-07,0,11,55,30,14,0,55
0.90875,39.35886429398148,11.78,26.323973958333333,14.577857142857145,1.9286892361111112,2013-01-08,1,24,56,10,19,0,56
0.769375,40.533614004629634,8.375972222222224,13.73843662464986,13.973611111111111,2.339861111111111,2013-01-09,1,12,54,7,20,0,54
0.501875,34.72770399305556,59.142083333333325,11.827434027777777,13.3875,2.580833333333333,2013-01-10,1,10,53,64,17,0,64
0.4660416666666667,29.81368735431235,50.17875,7.755500700280112,12.659090909090908,1.149887152777778,2013-01-11,0,7,52,46,14,0,52
0.51375,31.073139467592597,31.332638888888887,10.050538194444444,12.459444444444443,1.1403819444444443,2013-01-12,0,9,51,29,15,0,51
0.494375,26.653867521367523,37.68210526315789,18.859942592592592,13.415692307692307,1.3865451388888888,2013-01-13,0,17,53,34,13,0,53
1.014375,31.381321942446043,22.36177419354839,48.236101063829786,16.983636363636364,4.381597222222222,2013-01-14,2,44,61,20,15,0,61
1.015,46.880631533101045,14.065555555555555,62.94805034722222,19.466,7.087317708333334,2013-01-15,3,54,66,13,23,0,66
0.773125,41.25159866898148,25.78611111111111,64.92378125,21.788365384615386,5.980286458333333,2013-01-16,3,55,71,23,20,0,71
0.6554166666666666,35.48167543859649,45.08430555555556,45.95532291666667,22.159411764705883,5.302274305555556,2013-01-17,2,42,72,41,17,0,72
0.4958333333333333,30.3227229020979,58.43708333333333,22.791387152777776,21.73444444444444,2.3655902777777778,2013-01-18,1,21,71,62,15,0,71
0.4647916666666667,24.684032118055555,61.20430555555556,23.55820138888889,21.53710526315789,2.8241927083333334,2013-01-19,1,21,70,71,12,0,71
0.47875,22.3660546875,58.47555555555555,26.143953125,21.63235294117647,4.687126736111111,2013-01-20,2,24,71,62,11,0,71
0.44625,22.11985722610723,67.89805555555556,26.054765625,21.345079365079364,5.367439236111111,2013-01-21,2,24,70,93,11,0,93
0.578125,29.14156828703704,62.4975,20.619467013888887,21.272392344497607,3.179496527777778,2013-01-22,1,19,70,75,14,0,75
0.9374468085106384,42.44544747652582,39.75458333333333,36.57772222222222,22.27978260869565,7.666313405797101,2013-01-23,4,33,72,36,21,0,72
1.0293617021276595,59.81335656213705,27.668472222222224,56.56341666666666,23.52119047619048,9.472465277777776,2013-01-24,5,51,75,25,30,0,75
1.1479166666666667,59.44101379107981,33.48888888888889,62.83638020833334,24.106969696969696,5.291840277777777,2013-01-25,2,54,76,31,29,0,76
0.951875,55.7518359375,47.07402777777778,57.66068923611111,25.811268115942028,6.651857638888889,2013-01-26,3,52,79,43,27,0,79
0.85,44.481465567129625,29.752361111111117,52.077385416666665,26.886666666666667,8.929105902777778,2013-01-27,4,48,82,27,22,0,82
1.14125,49.55693661971831,33.27014285714286,30.80825741525424,27.076666666666664,3.832335069444445,2013-01-28,2,28,82,30,24,0,82
0.6129166666666667,49.23904326364693,37.18014084507042,20.91345138888889,27.255000000000003,3.026597222222222,2013-01-29,1,19,82,34,24,0,82
0.6625,39.84614837398374,42.75416666666667,10.347577355836853,27.215,3.0097222222222224,2013-01-30,1,9,82,39,19,0,82
0.4365217391304347,30.080965842167256,62.97942857142858,12.607131205673758,26.9375,2.2340579710144928,2013-01-31,1,11,82,77,15,0,82
0.5447916666666667,31.938777488425924,57.62402777777778,20.87171875,26.899166666666662,2.298897569444444,2013-02-01,1,19,82,59,16,0,82
0.4466666666666667,36.14077835648148,54.556666666666665,17.93261520737327,26.755000000000003,2.339965277777777,2013-02-02,1,16,81,49,18,0,81
0.4620833333333333,26.46141782407408,56.415416666666665,15.276041666666666,26.843333333333334,1.9739756944444444,2013-02-03,1,14,82,55,13,0,82
0.6720833333333333,34.992229965156795,53.56845070422536,16.78291476407915,26.985000000000003,3.5379600694444444,2013-02-04,1,15,82,49,17,0,82
0.5114583333333333,37.4875318287037,67.05763888888889,18.818230902777778,26.96333333333333,3.240833333333333,2013-02-05,1,17,82,90,18,0,90
0.6677083333333332,44.96102864583334,59.149166666666666,15.979505208333332,26.475,2.181727430555556,2013-02-06,1,14,81,64,22,0,81
0.64,48.9620240162037,45.15069444444444,21.07727951388889,24.47083333333333,2.422482638888889,2013-02-07,1,19,77,41,24,0,77
0.715,44.63260307781649,35.94013888888889,18.143215277777777,22.831666666666667,2.840034722222222,2013-02-08,1,16,73,33,22,0,73
0.6791666666666667,43.92655960648148,44.75875,17.75278298611111,21.1975,2.5361371527777776,2013-02-09,1,16,70,41,22,0,70
0.5960416666666667,37.28505063657408,51.45430555555556,16.92491016819572,20.75333333333333,2.5918489583333333,2013-02-10,1,15,69,47,18,0,69
0.5670212765957446,33.64193955399061,49.59166666666667,25.0080383480826,21.29,3.236180555555556,2013-02-11,1,23,70,45,16,0,70
0.6202083333333334,31.9515625,49.07875,42.83007638888889,22.24333333333333,5.684088541666667,2013-02-12,3,39,72,45,16,0,72
0.6233333333333333,36.40674361207898,55.30833333333333,47.093803819444446,22.729166666666664,5.040677083333334,2013-02-13,2,43,73,52,18,0,73
0.8633333333333333,43.78497514619883,50.809305555555554,41.545484375,23.300000000000004,3.017144097222222,2013-02-14,1,38,74,47,21,0,74
0.9716666666666668,46.3889831002331,41.747638888888886,56.060944444444445,25.13583333333333,5.658854166666667,2013-02-15,3,51,78,38,23,0,78
1.085,51.127336516203705,12.937916666666666,88.19070138888888,26.8075,4.452065972222222,2013-02-16,2,67,81,11,25,0,81
0.6997916666666667,35.98260706018519,42.79638888888889,74.17263368055555,26.31666666666667,4.760442708333334,2013-02-17,2,60,80,39,18,0,80
0.8152083333333334,38.02596064814815,55.69361111111111,40.70641319444445,25.145833333333336,2.4229427083333333,2013-02-18,1,37,78,53,19,0,78
0.6429166666666667,42.38230623543123,42.69126760563381,32.21493576388889,23.44333333333333,2.3544010416666667,2013-02-19,1,29,74,39,21,0,74
0.3642553191489362,27.662693764568765,72.8848611111111,10.62632465277778,22.084166666666665,0.6435185185185186,2013-02-20,0,9,71,107,13,0,107
0.4708333333333334,31.067130782918152,70.14671875,14.038967470760234,21.565625,1.0594791666666663,2013-02-21,0,12,70,98,15,0,98
0.540625,29.628800636574077,72.11305555555555,26.790035014005603,22.5225,2.829392361111111,2013-02-22,1,24,72,104,14,0,104
0.5179166666666667,24.73679632867133,73.31366197183098,40.94746180555556,23.31666666666667,3.2065451388888886,2013-02-23,1,37,74,109,12,0,109
0.5839583333333334,23.27653073286052,43.25277777777777,33.80089031339031,24.1875,2.600078125,2013-02-24,1,31,76,40,11,0,76
0.596875,26.486031818181814,39.44805555555556,48.72340675477239,25.660833333333336,3.375086805555556,2013-02-25,1,45,79,36,13,0,79
0.5693750000000001,29.518054108796296,34.638194444444444,49.85748958333333,26.69083333333333,3.988637152777778,2013-02-26,2,46,81,32,14,0,81
0.599375,31.953195891203706,42.4112676056338,29.254130208333333,27.1,1.9945225694444444,2013-02-27,1,27,82,39,16,0,82
0.7410416666666667,45.64837719298246,42.60028169014085,32.96454861111111,27.72666666666667,1.766345486111111,2013-02-28,0,30,83,39,22,0,83
0.6699999999999999,41.26729021990741,55.54388888888889,34.54989930555556,28.05833333333333,2.1211458333333333,2013-03-01,1,31,84,52,20,0,84
0.5960416666666667,43.46941261574074,54.42625,29.93373958333333,28.39583333333333,1.8154861111111111,2013-03-02,0,27,85,49,21,0,85
0.474375,28.607456597222225,73.12125,26.96461284722222,28.431666666666665,2.390954861111111,2013-03-03,1,24,85,108,14,0,108
1.3589583333333335,56.69402777777778,55.37027777777777,34.77908440629471,28.863333333333333,2.9980208333333334,2013-03-04,1,32,86,52,28,0,86
0.9558333333333334,65.3289949223417,61.54285714285714,44.11575624082232,29.175,4.251710069444445,2013-03-05,2,40,86,72,32,0,86
1.0945833333333332,73.71262876157408,52.48444444444445,52.14801816239316,30.035833333333336,5.740659722222222,2013-03-06,3,48,88,48,36,0,88
0.63,56.597994791666665,72.95305555555555,64.39182118055555,30.926666666666662,8.144149305555556,2013-03-07,4,55,90,107,28,0,107
0.43875,27.492133969907407,65.65527777777778,39.42566145833334,30.196666666666665,3.4396961805555555,2013-03-08,1,36,89,85,13,0,89
0.4325,24.396906828703703,60.59111111111112,29.660072916666664,29.85333333333333,2.2109288194444443,2013-03-09,1,27,88,69,12,0,88
0.4116666666666667,22.238478009259257,66.75083333333333,30.876869791666667,29.256666666666668,2.1405729166666667,2013-03-10,1,28,87,89,11,0,89
0.4866666666666666,25.356537905092598,73.21597222222222,25.975331597222223,27.94083333333333,1.7690451388888888,2013-03-11,0,24,84,108,12,0,108
0.4729166666666666,36.12648083623693,77.12277777777778,24.43644965277777,25.46,2.099331597222222,2013-03-12,1,22,79,122,18,0,122
0.6741666666666667,42.40538628472222,81.21402777777777,22.33533333333333,24.34,2.1460503472222223,2013-03-13,1,20,76,136,21,0,136
1.1197916666666667,75.39389372822299,55.31777777777778,37.67602083333334,24.460833333333333,3.547996453900709,2013-03-14,1,34,76,52,37,0,76
0.6077083333333334,54.58186334498834,70.44305555555555,34.53893576388889,24.666666666666668,2.476102430555556,2013-03-15,1,31,77,99,27,0,99
0.8104166666666667,59.99814236111112,69.43291666666667,29.602803819444443,25.31,2.340034722222222,2013-03-16,1,27,78,98,30,0,98
0.5522916666666667,34.79848524305556,88.81819444444444,32.577626736111114,26.075,6.189826388888889,2013-03-17,3,30,80,158,17,0,158
0.61125,28.83112224157956,89.46549295774648,41.27465625,26.315,8.810477430555556,2013-03-18,4,38,80,159,14,0,159
0.6216666666666667,39.54966173054588,83.22375,38.58136805555556,26.106666666666666,6.261223958333333,2013-03-19,3,35,80,143,19,0,143
0.730625,49.56767628205128,78.89014285714286,25.30354513888889,25.756666666666668,2.896414930555556,2013-03-20,1,23,79,128,24,0,128
0.5720833333333334,43.64815455082742,84.31408450704225,33.195881944444444,25.166666666666668,2.346362847222222,2013-03-21,1,30,78,147,21,0,147
0.433125,36.389849163679806,82.11305555555556,27.287709219858154,24.370833333333334,1.964964539007092,2013-03-22,1,25,76,139,18,0,139
0.3677083333333333,23.426302083333333,85.94944444444444,21.034024305555555,23.984166666666663,3.5153125000000003,2013-03-23,1,19,75,150,11,0,150
0.4025,24.801633391203705,89.25902777777777,23.96246701388889,23.7925,4.560434027777778,2013-03-24,2,22,75,159,12,0,159
0.4277083333333333,26.10437065972222,94.59166666666668,28.93408755274261,23.8325,4.352274305555556,2013-03-25,2,26,75,173,13,0,173
0.435,27.463454861111117,98.30774647887324,25.955027173913045,23.6325,3.0139496527777774,2013-03-26,1,24,75,182,13,0,182
0.434375,32.24535011574074,99.43875,26.210730902777776,23.80833333333333,4.736519097222222,2013-03-27,2,24,75,185,16,0,185
0.5670833333333333,33.51825174825174,105.11625,31.617484375,24.324166666666667,5.48,2013-03-28,2,29,76,200,16,0,200
